"","route","date","rides"
"335","10","11/2011",663.764705882353
"336","10","12/2011",650.904761904762
"337","10","01/2012",612.2
"338","10","02/2012",659.25
"339","10","03/2012",938.928571428571
"340","10","04/2012",1186
"341","10","05/2012",763.2
"342","10","06/2012",1378.84210526316
"343","10","07/2012",1794.38709677419
"344","10","08/2012",1590.58064516129
"345","10","09/2012",960.363636363636
"346","10","10/2012",763.875
"347","10","11/2012",620
"348","10","12/2012",652.448275862069
"349","10","01/2013",568.583333333333
"350","10","02/2013",613
"351","10","03/2013",730.733333333333
"352","10","04/2013",720.230769230769
"353","10","05/2013",707.615384615385
"354","10","06/2013",841.433333333333
"355","10","07/2013",1156.90322580645
"356","10","08/2013",987.193548387097
"357","10","09/2013",668.2
"358","10","10/2013",686
"359","10","11/2013",594.454545454545
"360","10","12/2013",534.214285714286
"361","10","01/2014",426.181818181818
"362","10","02/2014",446.875
"363","10","03/2014",555.875
"364","10","04/2014",686.0625
"365","10","05/2014",618.909090909091
"366","10","06/2014",672.266666666667
"367","10","07/2014",970.483870967742
"368","10","08/2014",972.032258064516
"369","10","09/2014",614.555555555556
"370","10","10/2014",575.625
"371","10","11/2014",582.090909090909
"372","10","12/2014",599.6875
"373","10","01/2015",445.636363636364
"374","10","02/2015",505.625
"375","10","03/2015",477.125
"376","10","04/2015",618.875
"377","10","05/2015",633.8
"378","10","06/2015",726.033333333333
"379","10","07/2015",960.064516129032
"380","10","08/2015",973.516129032258
"381","10","09/2015",704.384615384615
"382","10","10/2015",683.444444444444
"383","10","11/2015",559.266666666667
"384","10","12/2015",407.366666666667
"385","10","01/2016",467.363636363636
"386","10","02/2016",472.75
"387","10","03/2016",570.058823529412
"388","10","04/2016",480.866666666667
"389","10","05/2016",519.181818181818
"390","10","06/2016",595.033333333333
"391","10","07/2016",813.774193548387
"392","10","08/2016",840.935483870968
"393","10","09/2016",569.4
"394","10","05/2017",269
"395","10","06/2017",556.7
"396","10","07/2017",727.193548387097
"397","10","08/2017",662.354838709677
"398","10","09/2017",445.75
"399","100","01/2001",1166.95454545455
"400","100","02/2001",1177.75
"401","100","03/2001",1256.22727272727
"402","100","04/2001",1120.57142857143
"403","100","05/2001",1191.90909090909
"404","100","06/2001",919.666666666667
"405","100","07/2001",901.47619047619
"406","100","08/2001",824.913043478261
"407","100","09/2001",1426.10526315789
"408","100","10/2001",1406.65217391304
"409","100","11/2001",1359.71428571429
"410","100","12/2001",1126.9
"411","100","01/2002",1172.36363636364
"412","100","02/2002",1195.85
"413","100","03/2002",1358.61904761905
"414","100","04/2002",1281.68181818182
"415","100","05/2002",1322.5
"416","100","06/2002",1200.95
"417","100","07/2002",938.363636363636
"418","100","08/2002",946.5
"419","100","09/2002",1249.35
"420","100","10/2002",1284.78260869565
"421","100","11/2002",1090.55
"422","100","12/2002",988.47619047619
"423","100","01/2003",1119
"424","100","02/2003",1234.55
"425","100","03/2003",1111.71428571429
"426","100","04/2003",945.454545454545
"427","100","05/2003",1093.28571428571
"428","100","06/2003",901.238095238095
"429","100","07/2003",796.5
"430","100","08/2003",734.47619047619
"431","100","09/2003",1246.04761904762
"432","100","10/2003",1293.26086956522
"433","100","11/2003",1118.57894736842
"434","100","12/2003",1049.81818181818
"435","100","01/2004",1013.52380952381
"436","100","02/2004",1010.95
"437","100","03/2004",1140.78260869565
"438","100","04/2004",1030.72727272727
"439","100","05/2004",1136.6
"440","100","06/2004",952.636363636364
"441","100","07/2004",648.952380952381
"442","100","08/2004",698.545454545455
"443","100","09/2004",1474.80952380952
"444","100","10/2004",1327.47619047619
"445","100","11/2004",1105.71428571429
"446","100","12/2004",899.826086956522
"447","100","01/2005",1017.80952380952
"448","100","02/2005",1129.2
"449","100","03/2005",994.130434782609
"450","100","04/2005",1031.2380952381
"451","100","05/2005",1163.61904761905
"452","100","06/2005",777
"453","100","07/2005",733.55
"454","100","08/2005",715.608695652174
"455","100","09/2005",1148.95238095238
"456","100","10/2005",1079.71428571429
"457","100","11/2005",962.904761904762
"458","100","12/2005",848.285714285714
"459","100","01/2006",830.380952380952
"460","100","02/2006",924.7
"461","100","03/2006",938.478260869565
"462","100","04/2006",857.2
"463","100","05/2006",1078.86363636364
"464","100","06/2006",820.090909090909
"465","100","07/2006",743.75
"466","100","08/2006",757.217391304348
"467","100","09/2006",1153.95
"468","100","10/2006",1112
"469","100","11/2006",1103.57142857143
"470","100","12/2006",972.55
"471","100","01/2007",782.409090909091
"472","100","02/2007",854.75
"473","100","03/2007",992
"474","100","04/2007",855.190476190476
"475","100","05/2007",1028.36363636364
"476","100","06/2007",782.047619047619
"477","100","07/2007",642.904761904762
"478","100","08/2007",614.913043478261
"479","100","09/2007",1074.63157894737
"480","100","10/2007",1048.69565217391
"481","100","11/2007",965.571428571429
"482","100","12/2007",830.7
"483","100","01/2008",804.409090909091
"484","100","02/2008",870.571428571429
"485","100","03/2008",858.095238095238
"486","100","04/2008",905.409090909091
"487","100","05/2008",1021.14285714286
"488","100","06/2008",769.142857142857
"489","100","07/2008",762.909090909091
"490","100","08/2008",676.047619047619
"491","100","09/2008",1100.80952380952
"492","100","10/2008",1050.60869565217
"493","100","11/2008",973.052631578947
"494","100","12/2008",816.636363636364
"495","100","01/2009",859.095238095238
"496","100","02/2009",972.15
"497","100","03/2009",974.727272727273
"498","100","04/2009",905.590909090909
"499","100","05/2009",1071.7
"500","100","06/2009",802.772727272727
"501","100","07/2009",736.681818181818
"502","100","08/2009",688.095238095238
"503","100","09/2009",1102.28571428571
"504","100","10/2009",1076.45454545455
"505","100","11/2009",1089.85
"506","100","12/2009",857
"507","100","01/2010",1057.1
"508","100","02/2010",968.35
"509","100","03/2010",954.695652173913
"510","100","04/2010",909.545454545455
"511","100","05/2010",925.15
"512","100","06/2010",812.636363636364
"513","100","07/2010",707.047619047619
"514","100","08/2010",792.727272727273
"515","100","09/2010",1095.7619047619
"516","100","10/2010",1096.19047619048
"517","100","11/2010",985.428571428571
"518","100","12/2010",714.434782608696
"519","100","01/2011",933.142857142857
"520","100","02/2011",927.95
"521","100","03/2011",1066.08695652174
"522","100","04/2011",936.809523809524
"523","100","05/2011",1064.7619047619
"524","100","06/2011",831.227272727273
"525","100","07/2011",684.85
"526","100","08/2011",753.04347826087
"527","100","09/2011",1090.42857142857
"528","100","10/2011",1044.33333333333
"529","100","11/2011",968.761904761905
"530","100","12/2011",853.619047619048
"531","100","01/2012",881.47619047619
"532","100","02/2012",990.285714285714
"533","100","03/2012",1040.36363636364
"534","100","04/2012",919.428571428571
"535","100","05/2012",1046.13636363636
"536","100","06/2012",835.47619047619
"537","100","07/2012",697.761904761905
"538","100","08/2012",765.739130434783
"539","100","09/2012",1127.26315789474
"540","100","10/2012",1195.47826086957
"541","100","11/2012",1017.14285714286
"542","100","12/2012",883.8
"543","100","01/2013",917.590909090909
"544","100","02/2013",948.05
"545","100","03/2013",858.666666666667
"546","100","04/2013",901.909090909091
"547","100","05/2013",902.136363636364
"548","100","06/2013",712.25
"549","100","07/2013",571.863636363636
"550","100","08/2013",577.954545454545
"551","100","09/2013",837.2
"552","100","10/2013",792.652173913043
"553","100","11/2013",775.95
"554","100","12/2013",686.285714285714
"555","100","01/2014",601.181818181818
"556","100","02/2014",760.45
"557","100","03/2014",791.619047619048
"558","100","04/2014",714.181818181818
"559","100","05/2014",762.714285714286
"560","100","06/2014",614.904761904762
"561","100","07/2014",579
"562","100","08/2014",593.714285714286
"563","100","09/2014",732.857142857143
"564","100","10/2014",699.869565217391
"565","100","11/2014",623.473684210526
"566","100","12/2014",618.090909090909
"567","100","01/2015",691.047619047619
"568","100","02/2015",726.2
"569","100","03/2015",768.318181818182
"570","100","04/2015",677.045454545455
"571","100","05/2015",780.65
"572","100","06/2015",686.545454545455
"573","100","07/2015",614.863636363636
"574","100","08/2015",594
"575","100","09/2015",826.142857142857
"576","100","10/2015",862.181818181818
"577","100","11/2015",780.25
"578","100","12/2015",673.363636363636
"579","100","01/2016",677.55
"580","100","02/2016",691.857142857143
"581","100","03/2016",684.173913043478
"582","100","04/2016",643.190476190476
"583","100","05/2016",708.285714285714
"584","100","06/2016",655.636363636364
"585","100","07/2016",592.2
"586","100","08/2016",559.04347826087
"587","100","09/2016",760.190476190476
"588","100","10/2016",740.666666666667
"589","100","11/2016",675.47619047619
